,x1,y1,x2,y2,deg
0,-900,255,899,256,0.031848679050528544
1,-900,72,899,73,0.031848679050528544
2,-900,38,899,39,0.031848679050528544
3,-900,172,899,173,0.031848679050528544
4,-900,54,899,55,0.031848679050528544
5,-900,5,899,6,0.031848679050528544
6,-900,1,899,2,0.031848679050528544
